macroreg,variable,year,value
Bay Area,BIRTHS,2010,21745.0
Bay Area,BIRTHS,2011,87984.0
Bay Area,BIRTHS,2012,86094.0
Bay Area,BIRTHS,2013,88005.0
Bay Area,BIRTHS,2014,87212.0
Bay Area,BIRTHS,2015,88141.0
Bay Area,BIRTHS,2016,87528.0
Bay Area,BIRTHS,2017,85467.0
Bay Area,BIRTHS,2018,82406.0
Bay Area,BIRTHS,2019,81321.0
Bay Area,BIRTHS,2020,80467.0
Bay Area,BIRTHS,2021,75029.0
Bay Area,BIRTHS,2022,77244.0
Bay Area,DEATHS,2010,-10844.0
Bay Area,DEATHS,2011,-45541.0
Bay Area,DEATHS,2012,-45481.0
Bay Area,DEATHS,2013,-46797.0
Bay Area,DEATHS,2014,-45971.0
Bay Area,DEATHS,2015,-47864.0
Bay Area,DEATHS,2016,-48290.0
Bay Area,DEATHS,2017,-49562.0
Bay Area,DEATHS,2018,-49956.0
Bay Area,DEATHS,2019,-51334.0
Bay Area,DEATHS,2020,-58042.0
Bay Area,DEATHS,2021,-59008.0
Bay Area,DEATHS,2022,-53936.0
Bay Area,DOMESTICMIG,2010,-3399.0
Bay Area,DOMESTICMIG,2011,4311.0
Bay Area,DOMESTICMIG,2012,14848.0
Bay Area,DOMESTICMIG,2013,17933.0
Bay Area,DOMESTICMIG,2014,11508.0
Bay Area,DOMESTICMIG,2015,-2201.0
Bay Area,DOMESTICMIG,2016,-30839.0
Bay Area,DOMESTICMIG,2017,-49971.0
Bay Area,DOMESTICMIG,2018,-55400.0
Bay Area,DOMESTICMIG,2019,-66631.0
Bay Area,DOMESTICMIG,2020,-86461.0
Bay Area,DOMESTICMIG,2021,-199998.0
Bay Area,DOMESTICMIG,2022,-130144.0
Bay Area,INTERNATIONALMIG,2010,7121.0
Bay Area,INTERNATIONALMIG,2011,37467.0
Bay Area,INTERNATIONALMIG,2012,37091.0
Bay Area,INTERNATIONALMIG,2013,42796.0
Bay Area,INTERNATIONALMIG,2014,48682.0
Bay Area,INTERNATIONALMIG,2015,56759.0
Bay Area,INTERNATIONALMIG,2016,51337.0
Bay Area,INTERNATIONALMIG,2017,45367.0
Bay Area,INTERNATIONALMIG,2018,33080.0
Bay Area,INTERNATIONALMIG,2019,21177.0
Bay Area,INTERNATIONALMIG,2020,16980.0
Bay Area,INTERNATIONALMIG,2021,17348.0
Bay Area,INTERNATIONALMIG,2022,47534.0
Bay Area,RESIDUAL,2010,-378.0
Bay Area,RESIDUAL,2011,-110.0
Bay Area,RESIDUAL,2012,-484.0
Bay Area,RESIDUAL,2013,-289.0
Bay Area,RESIDUAL,2014,-353.0
Bay Area,RESIDUAL,2015,-375.0
Bay Area,RESIDUAL,2016,-160.0
Bay Area,RESIDUAL,2017,-142.0
Bay Area,RESIDUAL,2018,-137.0
Bay Area,RESIDUAL,2019,-46.0
Bay Area,RESIDUAL,2020,-75.0
Bay Area,RESIDUAL,2021,-9337.0
Bay Area,RESIDUAL,2022,1467.0
Central Coast,BIRTHS,2010,4881.0
Central Coast,BIRTHS,2011,19264.0
Central Coast,BIRTHS,2012,18959.0
Central Coast,BIRTHS,2013,18615.0
Central Coast,BIRTHS,2014,18475.0
Central Coast,BIRTHS,2015,18563.0
Central Coast,BIRTHS,2016,18280.0
Central Coast,BIRTHS,2017,17477.0
Central Coast,BIRTHS,2018,16947.0
Central Coast,BIRTHS,2019,17086.0
Central Coast,BIRTHS,2020,16822.0
Central Coast,BIRTHS,2021,16024.0
Central Coast,BIRTHS,2022,16513.0
Central Coast,DEATHS,2010,-2272.0
Central Coast,DEATHS,2011,-9411.0
Central Coast,DEATHS,2012,-9450.0
Central Coast,DEATHS,2013,-9754.0
Central Coast,DEATHS,2014,-9636.0
Central Coast,DEATHS,2015,-9818.0
Central Coast,DEATHS,2016,-10154.0
Central Coast,DEATHS,2017,-10466.0
Central Coast,DEATHS,2018,-10495.0
Central Coast,DEATHS,2019,-10603.0
Central Coast,DEATHS,2020,-11562.0
Central Coast,DEATHS,2021,-12492.0
Central Coast,DEATHS,2022,-11440.0
Central Coast,DOMESTICMIG,2010,85.0
Central Coast,DOMESTICMIG,2011,-1831.0
Central Coast,DOMESTICMIG,2012,2738.0
Central Coast,DOMESTICMIG,2013,897.0
Central Coast,DOMESTICMIG,2014,466.0
Central Coast,DOMESTICMIG,2015,-1479.0
Central Coast,DOMESTICMIG,2016,-2016.0
Central Coast,DOMESTICMIG,2017,-5240.0
Central Coast,DOMESTICMIG,2018,-6048.0
Central Coast,DOMESTICMIG,2019,-5603.0
Central Coast,DOMESTICMIG,2020,-10384.0
Central Coast,DOMESTICMIG,2021,-25483.0
Central Coast,DOMESTICMIG,2022,1162.0
Central Coast,INTERNATIONALMIG,2010,189.0
Central Coast,INTERNATIONALMIG,2011,765.0
Central Coast,INTERNATIONALMIG,2012,1172.0
Central Coast,INTERNATIONALMIG,2013,1720.0
Central Coast,INTERNATIONALMIG,2014,2201.0
Central Coast,INTERNATIONALMIG,2015,3025.0
Central Coast,INTERNATIONALMIG,2016,2977.0
Central Coast,INTERNATIONALMIG,2017,1409.0
Central Coast,INTERNATIONALMIG,2018,137.0
Central Coast,INTERNATIONALMIG,2019,-523.0
Central Coast,INTERNATIONALMIG,2020,-222.0
Central Coast,INTERNATIONALMIG,2021,846.0
Central Coast,INTERNATIONALMIG,2022,2497.0
Central Coast,RESIDUAL,2010,-3.0
Central Coast,RESIDUAL,2011,-21.0
Central Coast,RESIDUAL,2012,-153.0
Central Coast,RESIDUAL,2013,-69.0
Central Coast,RESIDUAL,2014,-110.0
Central Coast,RESIDUAL,2015,-84.0
Central Coast,RESIDUAL,2016,-47.0
Central Coast,RESIDUAL,2017,-29.0
Central Coast,RESIDUAL,2018,4.0
Central Coast,RESIDUAL,2019,14.0
Central Coast,RESIDUAL,2020,2.0
Central Coast,RESIDUAL,2021,-1240.0
Central Coast,RESIDUAL,2022,774.0
Desert,BIRTHS,2010,728.0
Desert,BIRTHS,2011,3319.0
Desert,BIRTHS,2012,3243.0
Desert,BIRTHS,2013,3223.0
Desert,BIRTHS,2014,3404.0
