runid,scenario_urbansim,county,county_name,year,shr_occ_management,shr_occ_manual,shr_occ_professional,shr_occ_retail,shr_occ_services,shr_occ_military
RC6_COVID,20: No Project (Plan Bay Area 2050),4,Alameda,2010,0.17714,0.24396,0.24729,0.13678,0.1936,0.00123
RC6_COVID,20: No Project (Plan Bay Area 2050),4,Alameda,2015,0.17585,0.25816,0.24141,0.13712,0.1864,0.00106
RC6_COVID,20: No Project (Plan Bay Area 2050),4,Alameda,2020,0.17902,0.25736,0.25639,0.12563,0.1805,0.00111
RC6_COVID,20: No Project (Plan Bay Area 2050),4,Alameda,2025,0.17829,0.25497,0.25556,0.13508,0.17508,0.00102
RC6_COVID,20: No Project (Plan Bay Area 2050),4,Alameda,2030,0.17965,0.25209,0.2579,0.13468,0.17476,0.00092
RC6_COVID,20: No Project (Plan Bay Area 2050),4,Alameda,2035,0.18037,0.25083,0.26087,0.13398,0.17307,0.00089
RC6_COVID,20: No Project (Plan Bay Area 2050),4,Alameda,2040,0.1808,0.25055,0.2627,0.13375,0.17137,0.00084
RC6_COVID,20: No Project (Plan Bay Area 2050),4,Alameda,2045,0.18153,0.24997,0.26539,0.13241,0.16988,0.00081
RC6_COVID,20: No Project (Plan Bay Area 2050),4,Alameda,2050,0.18221,0.24966,0.268,0.13103,0.16832,0.00078
RC6_COVID,20: No Project (Plan Bay Area 2050),5,Contra Costa,2010,0.19159,0.26641,0.19389,0.15763,0.18998,0.00049
RC6_COVID,20: No Project (Plan Bay Area 2050),5,Contra Costa,2015,0.18925,0.27964,0.18951,0.15488,0.18628,0.00045
RC6_COVID,20: No Project (Plan Bay Area 2050),5,Contra Costa,2020,0.19218,0.2801,0.19753,0.14314,0.18657,0.00047
RC6_COVID,20: No Project (Plan Bay Area 2050),5,Contra Costa,2025,0.19163,0.28366,0.19472,0.15025,0.17931,0.00043
RC6_COVID,20: No Project (Plan Bay Area 2050),5,Contra Costa,2030,0.19376,0.27944,0.19611,0.15068,0.17962,0.00039
RC6_COVID,20: No Project (Plan Bay Area 2050),5,Contra Costa,2035,0.19522,0.27721,0.19796,0.15046,0.17877,0.00039
RC6_COVID,20: No Project (Plan Bay Area 2050),5,Contra Costa,2040,0.19632,0.27724,0.19819,0.15048,0.1774,0.00037
RC6_COVID,20: No Project (Plan Bay Area 2050),5,Contra Costa,2045,0.19776,0.2776,0.19888,0.1493,0.17609,0.00037
RC6_COVID,20: No Project (Plan Bay Area 2050),5,Contra Costa,2050,0.19913,0.27797,0.19984,0.14793,0.17477,0.00036
RC6_COVID,20: No Project (Plan Bay Area 2050),9,Marin,2010,0.23314,0.17101,0.20455,0.1803,0.20696,0.00403
RC6_COVID,20: No Project (Plan Bay Area 2050),9,Marin,2015,0.23483,0.18274,0.20407,0.17922,0.19591,0.00322
RC6_COVID,20: No Project (Plan Bay Area 2050),9,Marin,2020,0.24267,0.18071,0.21474,0.16846,0.19012,0.00329
RC6_COVID,20: No Project (Plan Bay Area 2050),9,Marin,2025,0.24432,0.18455,0.21306,0.17211,0.18296,0.00302
RC6_COVID,20: No Project (Plan Bay Area 2050),9,Marin,2030,0.24769,0.18249,0.21516,0.17019,0.18176,0.00272
RC6_COVID,20: No Project (Plan Bay Area 2050),9,Marin,2035,0.25009,0.18229,0.21674,0.16897,0.17927,0.00266
RC6_COVID,20: No Project (Plan Bay Area 2050),9,Marin,2040,0.25217,0.1819,0.21782,0.16846,0.17709,0.00256
RC6_COVID,20: No Project (Plan Bay Area 2050),9,Marin,2045,0.25459,0.18106,0.22002,0.16623,0.17558,0.00252
RC6_COVID,20: No Project (Plan Bay Area 2050),9,Marin,2050,0.257,0.18036,0.22241,0.16361,0.17414,0.00247
RC6_COVID,20: No Project (Plan Bay Area 2050),7,Napa,2010,0.16594,0.33929,0.16641,0.16337,0.16499,0.0
RC6_COVID,20: No Project (Plan Bay Area 2050),7,Napa,2015,0.16294,0.34896,0.15795,0.16572,0.16443,0.0
RC6_COVID,20: No Project (Plan Bay Area 2050),7,Napa,2020,0.16618,0.34848,0.16758,0.1531,0.16465,0.0
RC6_COVID,20: No Project (Plan Bay Area 2050),7,Napa,2025,0.16511,0.35026,0.16152,0.16432,0.15879,0.0
RC6_COVID,20: No Project (Plan Bay Area 2050),7,Napa,2030,0.16729,0.34772,0.16115,0.16439,0.15945,0.0
RC6_COVID,20: No Project (Plan Bay Area 2050),7,Napa,2035,0.16824,0.34747,0.1618,0.16395,0.15855,0.0
