county,county_name,year,shr_occ_management,shr_occ_manual,shr_occ_professional,shr_occ_retail,shr_occ_services,shr_occ_military
1,San Francisco,2010,0.1466,0.24286,0.19496,0.16839,0.24485,0.00235
1,San Francisco,2015,0.15053,0.23959,0.20409,0.16799,0.23603,0.00178
1,San Francisco,2020,0.15765,0.23931,0.21856,0.15081,0.23176,0.00191
1,San Francisco,2025,0.15583,0.24076,0.2153,0.16595,0.22044,0.00171
1,San Francisco,2030,0.15821,0.23892,0.21751,0.16576,0.21807,0.00153
1,San Francisco,2035,0.15942,0.23797,0.22016,0.1658,0.21517,0.00147
1,San Francisco,2040,0.16097,0.23735,0.22208,0.16573,0.21247,0.0014
1,San Francisco,2045,0.16285,0.23673,0.22435,0.16472,0.21,0.00134
1,San Francisco,2050,0.16441,0.2368,0.2263,0.164,0.20722,0.00128
2,San Mateo,2010,0.13288,0.30205,0.16306,0.17643,0.22259,0.00298
2,San Mateo,2015,0.13092,0.31017,0.16891,0.16642,0.22121,0.00237
2,San Mateo,2020,0.13923,0.29691,0.18914,0.15082,0.22123,0.00266
2,San Mateo,2025,0.13747,0.30078,0.18616,0.16189,0.21133,0.00237
2,San Mateo,2030,0.14036,0.29595,0.191,0.16156,0.20902,0.0021
2,San Mateo,2035,0.14198,0.29381,0.19454,0.16158,0.20608,0.00201
2,San Mateo,2040,0.14354,0.29238,0.19741,0.16171,0.20307,0.0019
2,San Mateo,2045,0.14546,0.29038,0.20114,0.16094,0.20028,0.0018
2,San Mateo,2050,0.14734,0.28854,0.205,0.16004,0.19736,0.00171
3,Santa Clara,2010,0.13368,0.28038,0.20653,0.16023,0.21624,0.00294
3,Santa Clara,2015,0.13584,0.27923,0.21253,0.15838,0.21148,0.00253
3,Santa Clara,2020,0.14122,0.27581,0.22637,0.14398,0.21001,0.00261
3,Santa Clara,2025,0.1411,0.26896,0.22707,0.15746,0.20297,0.00244
3,Santa Clara,2030,0.14366,0.2658,0.22881,0.15786,0.20172,0.00215
3,Santa Clara,2035,0.14526,0.26379,0.23156,0.15812,0.19923,0.00205
3,Santa Clara,2040,0.14681,0.26219,0.23398,0.15862,0.19648,0.00192
3,Santa Clara,2045,0.14889,0.25961,0.23766,0.15805,0.19397,0.00181
